motor1_x,motor1_y,motor1_z,sound,time
0.006363,0.000998,0.139532,-0.008152,2024-04-22T17:34:00.321887Z
-0.003419,0.000052,0.040760,-0.007836,2024-04-22T17:34:00.322087Z
0.011728,0.000367,-0.115110,-0.010991,2024-04-22T17:34:00.322287Z
-0.008467,0.000367,-0.110693,-0.007836,2024-04-22T17:34:00.322487Z
-0.006574,0.000998,0.061903,-0.007836,2024-04-22T17:34:00.322687Z
0.001630,0.000683,0.033817,-0.006258,2024-04-22T17:34:00.322887Z
0.000683,0.000683,0.020564,-0.008467,2024-04-22T17:34:00.323087Z
0.009203,0.000367,-0.105014,-0.008783,2024-04-22T17:34:00.323287Z
0.005416,0.000367,0.134799,-0.007836,2024-04-22T17:34:00.323487Z
-0.008783,0.000367,0.164146,-0.006258,2024-04-22T17:34:00.323687Z
-0.022665,0.000367,0.003839,-0.004365,2024-04-22T17:34:00.323887Z
0.006048,0.001314,-0.081666,-0.006889,2024-04-22T17:34:00.324087Z
0.001630,0.000367,-0.109115,-0.009098,2024-04-22T17:34:00.324287Z
0.000998,0.000683,-0.054532,-0.007521,2024-04-22T17:34:00.324487Z
0.007310,0.000367,0.017092,-0.006889,2024-04-22T17:34:00.324687Z
-0.012884,0.000998,0.129118,-0.006258,2024-04-22T17:34:00.324887Z
0.002576,0.000052,0.063481,-0.007521,2024-04-22T17:34:00.325087Z
0.003839,0.000683,-0.073147,-0.010045,2024-04-22T17:34:00.325287Z
-0.007836,0.000998,0.004470,-0.008152,2024-04-22T17:34:00.325487Z
-0.009729,0.000998,0.022773,-0.006574,2024-04-22T17:34:00.325687Z
-0.004681,0.000998,0.248087,-0.019510,2024-04-22T17:34:00.325887Z
0.011728,0.000683,-0.010676,-0.007836,2024-04-22T17:34:00.326087Z
0.006048,0.000367,0.013621,-0.009098,2024-04-22T17:34:00.326287Z
-0.001841,0.000998,-0.124575,-0.008467,2024-04-22T17:34:00.326487Z
-0.002788,0.000998,0.180556,-0.006258,2024-04-22T17:34:00.326687Z
0.013937,0.000367,0.060009,-0.013831,2024-04-22T17:34:00.326887Z
-0.011307,0.000052,-0.068414,-0.007836,2024-04-22T17:34:00.327087Z
0.009519,0.000683,-0.008783,-0.010991,2024-04-22T17:34:00.327287Z
-0.007836,0.000367,-0.072516,-0.009098,2024-04-22T17:34:00.327487Z
-0.003103,0.000683,0.168880,-0.004681,2024-04-22T17:34:00.327687Z
0.000998,0.000998,-0.151078,-0.004050,2024-04-22T17:34:00.327887Z
-0.017617,0.000683,-0.009729,-0.005943,2024-04-22T17:34:00.328087Z
0.006679,0.000998,-0.212287,-0.010991,2024-04-22T17:34:00.328287Z
-0.004681,0.000683,0.008572,-0.006574,2024-04-22T17:34:00.328487Z
0.001945,0.000683,0.004154,-0.006258,2024-04-22T17:34:00.328687Z
-0.005943,0.000998,0.007310,-0.006574,2024-04-22T17:34:00.328887Z
-0.006889,0.000683,0.020248,-0.006258,2024-04-22T17:34:00.329087Z
0.008256,0.000367,-0.256459,-0.011938,2024-04-22T17:34:00.329287Z
-0.006258,0.000998,-0.223646,-0.007521,2024-04-22T17:34:00.329487Z
-0.005943,0.000683,-0.017301,-0.006889,2024-04-22T17:34:00.329687Z
0.016777,0.000998,0.031293,-0.008783,2024-04-22T17:34:00.329887Z
0.000998,0.000052,-0.014462,-0.008467,2024-04-22T17:34:00.330087Z
0.007310,0.000367,-0.086398,-0.010676,2024-04-22T17:34:00.330287Z
-0.010991,0.000683,-0.063997,-0.005943,2024-04-22T17:34:00.330487Z
-0.000264,0.000998,0.029715,-0.007836,2024-04-22T17:34:00.330687Z
0.002892,0.001314,-0.019194,-0.007205,2024-04-22T17:34:00.330887Z
-0.004996,0.000683,-0.052323,-0.007521,2024-04-22T17:34:00.331087Z
-0.004365,0.000052,-0.097126,-0.007836,2024-04-22T17:34:00.331287Z
0.008572,0.000683,0.123123,-0.007836,2024-04-22T17:34:00.331487Z
-0.001526,0.000367,0.116811,-0.005943,2024-04-22T17:34:00.331687Z
-0.013515,0.000367,-0.027082,-0.002788,2024-04-22T17:34:00.331887Z
0.017092,0.000683,-0.102489,-0.006258,2024-04-22T17:34:00.332087Z
-0.002157,0.000367,-0.055163,-0.009414,2024-04-22T17:34:00.332287Z
-0.008467,0.000998,-0.074409,-0.007836,2024-04-22T17:34:00.332487Z
0.007941,0.000367,0.096931,-0.007521,2024-04-22T17:34:00.332687Z
-0.004050,0.000998,0.150261,-0.005312,2024-04-22T17:34:00.332887Z
0.005416,0.000998,0.120283,-0.008152,2024-04-22T17:34:00.333087Z
0.003523,0.000367,-0.003419,-0.010991,2024-04-22T17:34:00.333287Z
-0.015093,0.000683,0.101033,-0.008467,2024-04-22T17:34:00.333487Z
-0.001841,0.000998,0.038551,-0.006574,2024-04-22T17:34:00.333687Z
-0.004050,0.001630,0.232624,-0.015408,2024-04-22T17:34:00.333887Z
0.006048,0.000683,0.006994,-0.007521,2024-04-22T17:34:00.334087Z
0.010465,0.000367,-0.042542,-0.008783,2024-04-22T17:34:00.334287Z
0.000998,0.000998,-0.123944,-0.010360,2024-04-22T17:34:00.334487Z
-0.004050,0.000367,0.216215,-0.006574,2024-04-22T17:34:00.334687Z
0.008572,0.000367,0.146790,-0.013200,2024-04-22T17:34:00.334887Z
-0.005943,0.000683,-0.117950,-0.007205,2024-04-22T17:34:00.335087Z
0.009834,0.000998,-0.029291,-0.010991,2024-04-22T17:34:00.335287Z
-0.012253,0.000998,-0.074409,-0.010045,2024-04-22T17:34:00.335487Z
-0.002157,0.000998,0.186236,-0.007205,2024-04-22T17:34:00.335687Z
0.001314,0.000998,-0.092393,-0.001210,2024-04-22T17:34:00.335887Z
-0.027398,0.001630,-0.000579,-0.008783,2024-04-22T17:34:00.336087Z
0.011728,0.000683,-0.110062,-0.011307,2024-04-22T17:34:00.336287Z
-0.010676,0.001314,0.072001,-0.007521,2024-04-22T17:34:00.336487Z
-0.004365,0.000998,0.108922,-0.008152,2024-04-22T17:34:00.336687Z
0.003207,0.001314,0.070739,-0.004365,2024-04-22T17:34:00.336887Z
0.006363,0.000367,0.014568,-0.007521,2024-04-22T17:34:00.337087Z
0.013306,0.000367,-0.202507,-0.012569,2024-04-22T17:34:00.337287Z
-0.007521,0.000998,-0.229325,-0.008467,2024-04-22T17:34:00.337487Z
-0.019194,0.000998,0.072316,-0.007205,2024-04-22T17:34:00.337687Z
0.014252,0.000998,0.118389,-0.008467,2024-04-22T17:34:00.337887Z
-0.000895,0.000367,0.030031,-0.008152,2024-04-22T17:34:00.338087Z
0.013621,0.000367,-0.215443,-0.011307,2024-04-22T17:34:00.338287Z
-0.014777,0.000683,-0.140666,-0.007521,2024-04-22T17:34:00.338487Z
-0.002788,0.000998,0.048333,-0.006574,2024-04-22T17:34:00.338687Z
0.003207,0.000998,0.048965,-0.007205,2024-04-22T17:34:00.338887Z
0.004154,0.000683,-0.018563,-0.008467,2024-04-22T17:34:00.339087Z
0.006994,0.000998,-0.140351,-0.008467,2024-04-22T17:34:00.339287Z
0.003523,0.000683,0.122176,-0.008783,2024-04-22T17:34:00.339487Z
0.003207,0.000367,0.234518,-0.006574,2024-04-22T17:34:00.339687Z
-0.016039,0.000367,0.033817,-0.004681,2024-04-22T17:34:00.339887Z
0.004785,0.000998,-0.069676,-0.008152,2024-04-22T17:34:00.340087Z
-0.001841,0.000998,-0.092393,-0.010045,2024-04-22T17:34:00.340287Z
-0.001526,0.000998,-0.034023,-0.007836,2024-04-22T17:34:00.340487Z
0.011097,0.000998,0.065058,-0.008152,2024-04-22T17:34:00.340687Z
-0.010360,0.000998,0.090304,-0.005943,2024-04-22T17:34:00.340887Z
-0.000895,0.000998,0.043284,-0.008152,2024-04-22T17:34:00.341087Z
0.010150,0.000683,-0.117634,-0.011307,2024-04-22T17:34:00.341287Z
-0.013831,0.000998,0.024350,-0.008467,2024-04-22T17:34:00.341487Z
-0.002788,0.000998,0.091250,-0.006889,2024-04-22T17:34:00.341687Z
-0.006889,0.000367,0.265443,-0.013515,2024-04-22T17:34:00.341887Z
0.016146,0.000367,0.065690,-0.008467,2024-04-22T17:34:00.342087Z
0.011097,0.000998,-0.121105,-0.009414,2024-04-22T17:34:00.342287Z
-0.005943,0.000683,-0.116056,-0.009729,2024-04-22T17:34:00.342487Z
-0.007836,0.000998,0.216530,-0.006258,2024-04-22T17:34:00.342687Z
0.006994,0.000998,0.158782,-0.013515,2024-04-22T17:34:00.342887Z
-0.011307,0.000683,-0.153602,-0.008467,2024-04-22T17:34:00.343087Z
0.012359,0.001314,-0.077249,-0.010676,2024-04-22T17:34:00.343287Z
-0.010991,0.000998,-0.048221,-0.010045,2024-04-22T17:34:00.343487Z
-0.006258,0.000367,0.148052,-0.005943,2024-04-22T17:34:00.343687Z
0.001630,0.000367,-0.158019,-0.000264,2024-04-22T17:34:00.343887Z
-0.022350,0.000367,-0.040649,-0.007521,2024-04-22T17:34:00.344087Z
0.010465,0.000367,-0.115741,-0.010991,2024-04-22T17:34:00.344287Z
-0.003734,0.000683,0.084308,-0.006889,2024-04-22T17:34:00.344487Z
-0.004681,0.000683,0.138270,-0.006574,2024-04-22T17:34:00.344687Z
0.002892,0.000683,0.085886,-0.004681,2024-04-22T17:34:00.344887Z
-0.001841,0.000683,0.003523,-0.006574,2024-04-22T17:34:00.345087Z
0.007310,0.000367,-0.226170,-0.013515,2024-04-22T17:34:00.345287Z
0.000367,0.000683,-0.203138,-0.007836,2024-04-22T17:34:00.345487Z
-0.016355,0.000683,0.056223,-0.007205,2024-04-22T17:34:00.345687Z
0.009203,0.000367,0.104820,-0.007205,2024-04-22T17:34:00.345887Z
-0.001210,0.000683,0.047387,-0.008152,2024-04-22T17:34:00.346087Z
0.012990,0.000367,-0.161175,-0.010991,2024-04-22T17:34:00.346287Z
-0.010991,0.000683,-0.136249,-0.006258,2024-04-22T17:34:00.346487Z
-0.000895,0.000998,0.024350,-0.006574,2024-04-22T17:34:00.346687Z
0.005732,0.000683,0.042653,-0.007836,2024-04-22T17:34:00.346887Z
-0.000895,0.000998,0.033817,-0.008467,2024-04-22T17:34:00.347087Z
-0.000579,0.000998,-0.114479,-0.008783,2024-04-22T17:34:00.347287Z
0.008256,0.000683,0.146159,-0.006574,2024-04-22T17:34:00.347487Z
-0.000579,0.000367,0.220633,-0.007205,2024-04-22T17:34:00.347687Z
-0.012884,0.000683,0.099140,-0.004681,2024-04-22T17:34:00.347887Z
0.000052,0.000998,-0.108484,-0.006574,2024-04-22T17:34:00.348087Z
-0.002157,0.000998,-0.079142,-0.010045,2024-04-22T17:34:00.348287Z
0.009834,0.000683,-0.021087,-0.007836,2024-04-22T17:34:00.348487Z
0.005416,0.000367,0.050858,-0.004996,2024-04-22T17:34:00.348687Z
-0.017301,0.000683,0.145843,-0.004681,2024-04-22T17:34:00.348887Z
0.012359,0.000683,0.072316,-0.008467,2024-04-22T17:34:00.349087Z
0.006048,0.000367,-0.142244,-0.010676,2024-04-22T17:34:00.349287Z
-0.012253,0.000998,-0.045382,-0.008152,2024-04-22T17:34:00.349487Z
-0.009729,0.000683,0.012359,-0.006574,2024-04-22T17:34:00.349687Z
-0.003419,0.001314,0.235464,-0.009729,2024-04-22T17:34:00.349887Z
0.015199,0.000683,0.027822,-0.007205,2024-04-22T17:34:00.350087Z
0.008572,0.000367,-0.022981,-0.007836,2024-04-22T17:34:00.350287Z
-0.008783,0.000998,-0.086398,-0.007205,2024-04-22T17:34:00.350487Z
-0.002157,0.000998,0.173929,-0.006258,2024-04-22T17:34:00.350687Z
0.009519,0.000367,0.122176,-0.011307,2024-04-22T17:34:00.350887Z
-0.016986,0.001314,-0.097441,-0.008467,2024-04-22T17:34:00.351087Z
0.016146,0.000683,-0.057056,-0.010676,2024-04-22T17:34:00.351287Z
-0.008467,0.000683,-0.030868,-0.009414,2024-04-22T17:34:00.351487Z
-0.008467,0.000052,0.204539,-0.005943,2024-04-22T17:34:00.351687Z
-0.000895,0.000367,-0.096810,-0.001841,2024-04-22T17:34:00.351887Z
-0.014777,0.000683,-0.025505,-0.008783,2024-04-22T17:34:00.352087Z
0.011097,0.000683,-0.152340,-0.010676,2024-04-22T17:34:00.352287Z
-0.014462,0.000367,0.074210,-0.007521,2024-04-22T17:34:00.352487Z
-0.005312,0.000683,0.046124,-0.006574,2024-04-22T17:34:00.352687Z
0.001314,0.000998,-0.027082,-0.007205,2024-04-22T17:34:00.352887Z
-0.005312,0.000998,-0.033077,-0.006889,2024-04-22T17:34:00.353087Z
0.001630,0.000367,-0.252042,-0.012253,2024-04-22T17:34:00.353287Z
-0.004050,0.000998,-0.202822,-0.007205,2024-04-22T17:34:00.353487Z
-0.014777,0.000998,-0.027713,-0.006574,2024-04-22T17:34:00.353687Z
0.006048,0.000998,0.051174,-0.007205,2024-04-22T17:34:00.353887Z
0.003839,-0.000264,0.040129,-0.008152,2024-04-22T17:34:00.354087Z
0.018039,0.000367,-0.150763,-0.010676,2024-04-22T17:34:00.354287Z
-0.012253,0.000683,-0.075671,-0.008152,2024-04-22T17:34:00.354487Z
-0.009098,0.000683,0.094091,-0.006889,2024-04-22T17:34:00.354687Z
0.005416,0.000683,0.077681,-0.005943,2024-04-22T17:34:00.354887Z
0.006048,0.000367,-0.000264,-0.008467,2024-04-22T17:34:00.355087Z
-0.002788,0.001314,-0.099650,-0.008783,2024-04-22T17:34:00.355287Z
-0.000895,0.000683,0.130381,-0.009414,2024-04-22T17:34:00.355487Z
-0.005312,0.000683,0.147737,-0.007205,2024-04-22T17:34:00.355687Z
-0.017301,0.000367,-0.021719,-0.002157,2024-04-22T17:34:00.355887Z
0.010465,0.000367,-0.133410,-0.007205,2024-04-22T17:34:00.356087Z
0.004470,0.000052,-0.114163,-0.008467,2024-04-22T17:34:00.356287Z
-0.000264,0.000998,-0.006258,-0.006574,2024-04-22T17:34:00.356487Z
0.003839,0.000367,0.069161,-0.006574,2024-04-22T17:34:00.356687Z
-0.013515,0.000998,0.151524,-0.005627,2024-04-22T17:34:00.356887Z
0.003523,0.000367,0.025297,-0.007836,2024-04-22T17:34:00.357087Z
0.003839,0.000367,-0.045066,-0.010360,2024-04-22T17:34:00.357287Z
-0.013831,0.000998,0.079259,-0.007836,2024-04-22T17:34:00.357487Z
-0.007205,0.000367,0.122176,-0.006574,2024-04-22T17:34:00.357687Z
-0.006258,0.000998,0.296053,-0.014777,2024-04-22T17:34:00.357887Z
0.007625,0.000367,0.055907,-0.007836,2024-04-22T17:34:00.358087Z
0.006994,0.000367,-0.118265,-0.008152,2024-04-22T17:34:00.358287Z
-0.015093,0.000998,-0.167485,-0.009098,2024-04-22T17:34:00.358487Z
-0.011307,0.000683,0.190338,-0.006889,2024-04-22T17:34:00.358687Z
0.004785,0.000683,0.115865,-0.015408,2024-04-22T17:34:00.358887Z
-0.013831,0.000052,-0.114479,-0.006574,2024-04-22T17:34:00.359087Z
0.014568,0.000998,-0.068414,-0.011622,2024-04-22T17:34:00.359287Z
-0.012253,0.000998,-0.037494,-0.009098,2024-04-22T17:34:00.359487Z
-0.001841,0.000367,0.187814,-0.005943,2024-04-22T17:34:00.359687Z
0.001314,0.000683,-0.139089,-0.002472,2024-04-22T17:34:00.359887Z
-0.016986,0.000998,-0.005943,-0.008152,2024-04-22T17:34:00.360087Z
0.009203,0.000683,-0.099650,-0.009729,2024-04-22T17:34:00.360287Z
