motor1_x,motor1_y,motor1_z,sound,time
0.011412,0.000998,-0.033708,-0.006889,2024-04-22T14:56:00.148136Z
0.019617,0.000683,-0.168747,-0.003103,2024-04-22T14:56:00.148336Z
0.000683,0.000998,-0.052323,-0.006889,2024-04-22T14:56:00.148536Z
-0.001526,0.000998,0.122807,-0.007836,2024-04-22T14:56:00.148736Z
0.001945,0.000367,0.058116,-0.007836,2024-04-22T14:56:00.148936Z
0.009519,0.000998,-0.061473,-0.008467,2024-04-22T14:56:00.149136Z
0.000052,0.001314,-0.112901,-0.002788,2024-04-22T14:56:00.149336Z
-0.004996,0.000998,-0.026451,-0.006258,2024-04-22T14:56:00.149536Z
-0.008467,0.000683,0.110184,-0.007205,2024-04-22T14:56:00.149736Z
0.000998,0.000367,0.062849,-0.005943,2024-04-22T14:56:00.149936Z
0.002261,0.001314,-0.138458,-0.008467,2024-04-22T14:56:00.150136Z
-0.014777,0.000683,-0.026767,-0.000264,2024-04-22T14:56:00.150336Z
0.004154,0.000683,0.012674,-0.006258,2024-04-22T14:56:00.150536Z
0.003839,0.000998,0.115233,-0.006574,2024-04-22T14:56:00.150736Z
0.008256,0.000367,-0.117318,-0.006889,2024-04-22T14:56:00.150936Z
0.000998,0.000367,-0.113532,-0.007521,2024-04-22T14:56:00.151136Z
0.001945,0.000683,-0.089553,0.001314,2024-04-22T14:56:00.151336Z
-0.003734,0.000683,-0.021403,-0.007836,2024-04-22T14:56:00.151536Z
0.003839,0.001314,0.152470,-0.006889,2024-04-22T14:56:00.151736Z
-0.004996,0.000683,0.080521,-0.002788,2024-04-22T14:56:00.151936Z
-0.012569,0.000367,0.061903,-0.007205,2024-04-22T14:56:00.152136Z
0.011097,0.000367,-0.071254,-0.001526,2024-04-22T14:56:00.152336Z
-0.011938,0.000998,0.027506,-0.005312,2024-04-22T14:56:00.152536Z
-0.011938,0.001314,0.140479,-0.006574,2024-04-22T14:56:00.152736Z
0.001630,0.000683,0.114918,-0.007205,2024-04-22T14:56:00.152936Z
0.006048,0.000367,0.017408,-0.008467,2024-04-22T14:56:00.153136Z
0.002261,0.000683,-0.079773,-0.000895,2024-04-22T14:56:00.153336Z
0.006679,0.000683,0.039813,-0.006574,2024-04-22T14:56:00.153536Z
-0.009098,0.000683,0.160675,-0.006574,2024-04-22T14:56:00.153736Z
0.006679,-0.000264,-0.055163,-0.006574,2024-04-22T14:56:00.153936Z
0.000367,0.000367,-0.076933,-0.008783,2024-04-22T14:56:00.154136Z
0.002892,0.000683,-0.101858,-0.002472,2024-04-22T14:56:00.154336Z
-0.012569,0.000998,-0.023927,-0.005627,2024-04-22T14:56:00.154536Z
0.016146,0.000998,0.131958,-0.007836,2024-04-22T14:56:00.154736Z
-0.016670,0.000367,-0.059580,-0.009414,2024-04-22T14:56:00.154936Z
0.001630,0.000683,-0.018879,-0.006574,2024-04-22T14:56:00.155136Z
-0.000579,0.000683,-0.024243,-0.000264,2024-04-22T14:56:00.155336Z
-0.006889,0.000683,-0.031815,-0.006258,2024-04-22T14:56:00.155536Z
0.016777,0.000367,0.119020,-0.006258,2024-04-22T14:56:00.155736Z
-0.001841,0.000367,-0.039072,-0.006574,2024-04-22T14:56:00.155936Z
0.009834,0.000998,0.012043,-0.006574,2024-04-22T14:56:00.156136Z
0.009834,0.000052,-0.147292,-0.003103,2024-04-22T14:56:00.156336Z
-0.004050,0.001630,-0.058318,-0.005943,2024-04-22T14:56:00.156536Z
-0.005627,0.000367,0.042338,-0.006574,2024-04-22T14:56:00.156736Z
0.004470,0.000683,0.041391,-0.008783,2024-04-22T14:56:00.156936Z
0.007941,0.000052,-0.058002,-0.008783,2024-04-22T14:56:00.157136Z
0.003523,0.000998,-0.140982,-0.003103,2024-04-22T14:56:00.157336Z
-0.002472,0.000998,-0.056109,-0.005943,2024-04-22T14:56:00.157536Z
-0.009098,0.000998,0.077997,-0.007205,2024-04-22T14:56:00.157736Z
0.008572,0.000683,0.074210,-0.006574,2024-04-22T14:56:00.157936Z
0.003207,0.000683,-0.135303,-0.008783,2024-04-22T14:56:00.158136Z
-0.010676,0.000683,0.006994,-0.000264,2024-04-22T14:56:00.158336Z
