motor1_x,motor1_y,motor1_z,sound,time
0.039182,0.000998,0.527048,-0.006574,2024-04-22T16:55:00.222797Z
0.159413,0.000998,-2.765721,-0.006574,2024-04-22T16:55:00.222997Z
-0.073462,0.000367,-0.214180,-0.004996,2024-04-22T16:55:00.223197Z
0.071054,0.000998,0.906989,-0.005943,2024-04-22T16:55:00.223397Z
-0.075355,0.000998,3.300560,-0.008467,2024-04-22T16:55:00.223597Z
-0.051061,0.000998,0.242722,-0.008467,2024-04-22T16:55:00.223797Z
-0.015408,0.000683,0.450365,-0.007205,2024-04-22T16:55:00.223997Z
0.058116,0.000998,-1.596120,-0.004681,2024-04-22T16:55:00.224197Z
0.005101,0.000998,1.459231,-0.007205,2024-04-22T16:55:00.224397Z
0.040760,0.000367,-1.458242,-0.009098,2024-04-22T16:55:00.224597Z
0.032240,0.000683,0.206117,-0.007521,2024-04-22T16:55:00.224797Z
0.119336,0.000367,-0.330604,-0.005627,2024-04-22T16:55:00.224997Z
-0.040965,0.000998,2.652071,-0.008783,2024-04-22T16:55:00.225197Z
-0.080088,0.000683,2.306526,-0.009098,2024-04-22T16:55:00.225397Z
0.202014,0.000998,-4.465381,-0.009098,2024-04-22T16:55:00.225597Z
-0.084821,0.000367,-1.616944,-0.007836,2024-04-22T16:55:00.225797Z
0.239882,0.000367,-0.208501,-0.007521,2024-04-22T16:55:00.225997Z
-0.134987,0.000683,2.803859,-0.007836,2024-04-22T16:55:00.226197Z
-0.006889,0.000367,0.415653,-0.008152,2024-04-22T16:55:00.226397Z
0.017723,0.000052,-1.442782,-0.011307,2024-04-22T16:55:00.226597Z
-0.265609,0.000683,-0.952162,-0.004996,2024-04-22T16:55:00.226797Z
0.151839,0.000683,-7.078131,-0.006889,2024-04-22T16:55:00.226997Z
-0.205977,0.000683,1.437772,-0.007836,2024-04-22T16:55:00.227197Z
-0.000895,0.001314,2.210594,-0.009098,2024-04-22T16:55:00.227397Z
-0.094602,0.000052,0.485708,-0.006889,2024-04-22T16:55:00.227597Z
0.146790,0.001314,-1.014317,-0.006889,2024-04-22T16:55:00.227797Z
-0.052008,0.000367,-0.247309,-0.008467,2024-04-22T16:55:00.227997Z
0.265443,0.000367,-0.305048,-0.006574,2024-04-22T16:55:00.228197Z
