motor1_x,motor1_y,motor1_z,sound,time
-0.004681,0.000367,0.106398,-0.007836,2024-04-22T18:14:00.235070Z
-0.004681,0.000683,0.080206,-0.007521,2024-04-22T18:14:00.235270Z
0.013621,0.000998,-0.118265,-0.007521,2024-04-22T18:14:00.235470Z
0.003839,0.000998,-0.097126,-0.006574,2024-04-22T18:14:00.235670Z
-0.002788,0.000052,0.080837,-0.006574,2024-04-22T18:14:00.235870Z
-0.005627,0.000998,0.211166,-0.009414,2024-04-22T18:14:00.236070Z
0.001630,0.001314,0.066952,-0.008152,2024-04-22T18:14:00.236270Z
0.015515,0.000367,-0.171902,-0.008152,2024-04-22T18:14:00.236470Z
-0.001841,0.000998,-0.156442,-0.006574,2024-04-22T18:14:00.236670Z
-0.011622,0.000683,0.092828,-0.006889,2024-04-22T18:14:00.236870Z
-0.001210,0.000683,0.221895,-0.009414,2024-04-22T18:14:00.237070Z
0.011097,0.000998,0.045809,-0.008467,2024-04-22T18:14:00.237270Z
0.013621,0.000683,-0.256143,-0.007836,2024-04-22T18:14:00.237470Z
-0.006258,0.000367,-0.153602,-0.006258,2024-04-22T18:14:00.237670Z
-0.017932,0.000998,0.094406,-0.007205,2024-04-22T18:14:00.237870Z
-0.002157,0.001314,0.203277,-0.010360,2024-04-22T18:14:00.238070Z
0.015199,0.000998,0.020248,-0.009098,2024-04-22T18:14:00.238270Z
0.009834,0.000367,-0.205977,-0.007205,2024-04-22T18:14:00.238470Z
-0.010991,0.000683,-0.049484,-0.007205,2024-04-22T18:14:00.238670Z
-0.017301,0.000998,0.117127,-0.006258,2024-04-22T18:14:00.238870Z
0.005101,0.000683,0.067267,-0.012253,2024-04-22T18:14:00.239070Z
0.009203,0.000998,-0.012569,-0.007836,2024-04-22T18:14:00.239270Z
0.006048,0.000367,-0.126784,-0.006574,2024-04-22T18:14:00.239470Z
-0.007521,0.000367,0.032555,-0.007205,2024-04-22T18:14:00.239670Z
-0.010360,0.000683,0.118705,-0.006574,2024-04-22T18:14:00.239870Z
0.003839,0.000683,-0.028660,-0.013515,2024-04-22T18:14:00.240070Z
-0.001526,0.000683,-0.089553,-0.009098,2024-04-22T18:14:00.240270Z
0.001945,0.000998,-0.093971,-0.007205,2024-04-22T18:14:00.240470Z
-0.003103,0.000998,0.075472,-0.006889,2024-04-22T18:14:00.240670Z
-0.002157,0.000683,0.081468,-0.006889,2024-04-22T18:14:00.240870Z
0.004470,0.000367,-0.114163,-0.009098,2024-04-22T18:14:00.241070Z
-0.007521,0.000367,-0.070307,-0.007521,2024-04-22T18:14:00.241270Z
-0.001526,0.000998,-0.024243,-0.006258,2024-04-22T18:14:00.241470Z
0.000052,0.000683,0.135430,-0.006574,2024-04-22T18:14:00.241670Z
0.012043,0.000367,0.078628,-0.008467,2024-04-22T18:14:00.241870Z
0.000052,0.000367,-0.113217,-0.009098,2024-04-22T18:14:00.242070Z
-0.004365,0.000683,-0.057056,-0.007521,2024-04-22T18:14:00.242270Z
-0.005312,0.000998,0.014883,-0.006574,2024-04-22T18:14:00.242470Z
0.002261,0.000998,0.153101,-0.007205,2024-04-22T18:14:00.242670Z
0.017408,0.000367,0.058116,-0.008783,2024-04-22T18:14:00.242870Z
0.000683,0.000367,-0.118581,-0.008467,2024-04-22T18:14:00.243070Z
-0.010045,0.000367,-0.035601,-0.007521,2024-04-22T18:14:00.243270Z
-0.007836,0.000998,0.016777,-0.006889,2024-04-22T18:14:00.243470Z
0.004470,0.000683,0.105451,-0.008152,2024-04-22T18:14:00.243670Z
0.018355,0.000367,0.064112,-0.006889,2024-04-22T18:14:00.243870Z
-0.000895,0.000052,-0.095233,-0.009729,2024-04-22T18:14:00.244070Z
-0.012253,0.000683,-0.015408,-0.005943,2024-04-22T18:14:00.244270Z
-0.004996,0.000367,0.003523,-0.006889,2024-04-22T18:14:00.244470Z
0.007941,0.000683,-0.043173,-0.007836,2024-04-22T18:14:00.244670Z
0.006048,0.000367,0.054329,-0.007521,2024-04-22T18:14:00.244870Z
-0.004050,0.000998,-0.006889,-0.011307,2024-04-22T18:14:00.245070Z
-0.002788,0.000683,-0.053270,-0.006574,2024-04-22T18:14:00.245270Z
0.000052,-0.000264,-0.105645,-0.008467,2024-04-22T18:14:00.245470Z
-0.000579,0.000998,-0.116372,-0.006574,2024-04-22T18:14:00.245670Z
-0.004050,0.000683,0.083046,-0.006889,2024-04-22T18:14:00.245870Z
0.001630,0.000683,0.061903,-0.012253,2024-04-22T18:14:00.246070Z
-0.007521,0.000998,-0.038756,-0.008152,2024-04-22T18:14:00.246270Z
0.012359,0.000367,-0.225854,-0.007836,2024-04-22T18:14:00.246470Z
-0.007521,0.000367,-0.124575,-0.007205,2024-04-22T18:14:00.246670Z
-0.008467,0.000367,0.154679,-0.005943,2024-04-22T18:14:00.246870Z
-0.001210,0.000998,0.191285,-0.010676,2024-04-22T18:14:00.247070Z
0.005416,0.000998,-0.015724,-0.007521,2024-04-22T18:14:00.247270Z
0.013937,0.000367,-0.270026,-0.007521,2024-04-22T18:14:00.247470Z
-0.012569,0.000367,-0.119843,-0.005943,2024-04-22T18:14:00.247670Z
-0.018563,0.000367,0.195072,-0.006258,2024-04-22T18:14:00.247870Z
0.002261,0.000683,0.231993,-0.009414,2024-04-22T18:14:00.248070Z
0.009203,0.000998,-0.031499,-0.009098,2024-04-22T18:14:00.248270Z
0.017408,0.000052,-0.263085,-0.008152,2024-04-22T18:14:00.248470Z
-0.012253,0.000367,-0.048537,-0.005312,2024-04-22T18:14:00.248670Z
-0.014146,0.000683,0.145843,-0.006258,2024-04-22T18:14:00.248870Z
0.000367,0.000683,0.162253,-0.010045,2024-04-22T18:14:00.249070Z
0.013621,0.000998,-0.072200,-0.008152,2024-04-22T18:14:00.249270Z
0.013306,0.000683,-0.216074,-0.006889,2024-04-22T18:14:00.249470Z
-0.010991,0.000052,0.019932,-0.006258,2024-04-22T18:14:00.249670Z
-0.007205,0.000367,0.143003,-0.006889,2024-04-22T18:14:00.249870Z
-0.004365,0.000367,0.075472,-0.010360,2024-04-22T18:14:00.250070Z
0.007625,0.000683,-0.076302,-0.009098,2024-04-22T18:14:00.250270Z
0.003207,0.000998,-0.082612,-0.006574,2024-04-22T18:14:00.250470Z
-0.004681,0.000683,0.054645,-0.006574,2024-04-22T18:14:00.250670Z
-0.001210,0.000998,0.101980,-0.006889,2024-04-22T18:14:00.250870Z
0.000683,0.000683,-0.035601,-0.010045,2024-04-22T18:14:00.251070Z
0.003523,0.000683,-0.087976,-0.007205,2024-04-22T18:14:00.251270Z
-0.006889,0.000683,0.052120,-0.006574,2024-04-22T18:14:00.251470Z
0.002261,0.000998,0.026559,-0.008467,2024-04-22T18:14:00.251670Z
0.006994,0.000367,0.078312,-0.007205,2024-04-22T18:14:00.251870Z
-0.000264,0.000052,-0.096179,-0.010360,2024-04-22T18:14:00.252070Z
-0.010991,0.000683,-0.113848,-0.007205,2024-04-22T18:14:00.252270Z
-0.004681,0.000998,0.110500,-0.006889,2024-04-22T18:14:00.252470Z
0.010465,0.000683,-0.005312,-0.008467,2024-04-22T18:14:00.252670Z
0.009834,0.000367,0.036657,-0.008152,2024-04-22T18:14:00.252870Z
0.000683,0.000683,-0.128046,-0.010360,2024-04-22T18:14:00.253070Z
-0.021087,0.000998,-0.062735,-0.006258,2024-04-22T18:14:00.253270Z
-0.006889,0.000998,0.122492,-0.006574,2024-04-22T18:14:00.253470Z
0.007625,0.000683,0.006363,-0.007836,2024-04-22T18:14:00.253670Z
0.012674,0.000367,0.016777,-0.007521,2024-04-22T18:14:00.253870Z
0.002261,0.000052,-0.076302,-0.007836,2024-04-22T18:14:00.254070Z
-0.016039,0.000367,0.002892,-0.006889,2024-04-22T18:14:00.254270Z
0.004154,0.000998,0.055907,-0.006889,2024-04-22T18:14:00.254470Z
0.005416,0.000683,0.010150,-0.008467,2024-04-22T18:14:00.254670Z
0.010465,0.000052,0.054014,-0.007205,2024-04-22T18:14:00.254870Z
-0.002788,0.000683,0.024982,-0.009729,2024-04-22T18:14:00.255070Z
-0.009414,0.000683,0.011728,-0.007205,2024-04-22T18:14:00.255270Z
0.006994,0.000367,-0.029291,-0.007836,2024-04-22T18:14:00.255470Z
-0.002472,0.000683,0.008572,-0.005943,2024-04-22T18:14:00.255670Z
0.000683,0.000683,0.119651,-0.007205,2024-04-22T18:14:00.255870Z
0.000683,0.000683,0.166986,-0.008783,2024-04-22T18:14:00.256070Z
0.005416,0.000998,-0.027082,-0.008152,2024-04-22T18:14:00.256270Z
0.014252,0.000998,-0.161175,-0.008152,2024-04-22T18:14:00.256470Z
-0.007205,0.000367,-0.073147,-0.005627,2024-04-22T18:14:00.256670Z
-0.009098,0.000367,0.159097,-0.007205,2024-04-22T18:14:00.256870Z
0.001630,0.001314,0.217161,-0.009098,2024-04-22T18:14:00.257070Z
0.007310,0.000998,-0.020456,-0.008152,2024-04-22T18:14:00.257270Z
0.011728,0.000683,-0.269079,-0.006889,2024-04-22T18:14:00.257470Z
-0.012569,0.000683,-0.085452,-0.005943,2024-04-22T18:14:00.257670Z
-0.022034,0.000998,0.202330,-0.006574,2024-04-22T18:14:00.257870Z
0.001314,0.000683,0.224419,-0.011622,2024-04-22T18:14:00.258070Z
0.013621,0.000683,-0.012569,-0.008152,2024-04-22T18:14:00.258270Z
0.012359,0.000367,-0.277598,-0.007521,2024-04-22T18:14:00.258470Z
-0.011622,0.000367,-0.081350,-0.005943,2024-04-22T18:14:00.258670Z
-0.025189,0.001630,0.199805,-0.006574,2024-04-22T18:14:00.258870Z
0.003523,0.000683,0.157519,-0.010991,2024-04-22T18:14:00.259070Z
0.011728,0.000998,-0.000264,-0.008152,2024-04-22T18:14:00.259270Z
0.009203,0.000683,-0.202822,-0.008467,2024-04-22T18:14:00.259470Z
-0.010676,0.000367,-0.004681,-0.007521,2024-04-22T18:14:00.259670Z
-0.014146,0.000998,0.154364,-0.004681,2024-04-22T18:14:00.259870Z
0.004470,0.000367,0.055276,-0.010991,2024-04-22T18:14:00.260070Z
0.003523,0.000052,-0.028975,-0.008467,2024-04-22T18:14:00.260270Z
0.005732,0.000367,-0.115110,-0.006574,2024-04-22T18:14:00.260470Z
-0.004681,0.001314,0.042022,-0.007205,2024-04-22T18:14:00.260670Z
-0.004996,0.000998,0.100717,-0.006574,2024-04-22T18:14:00.260870Z
0.000052,0.000683,-0.058002,-0.008783,2024-04-22T18:14:00.261070Z
-0.005943,0.000683,-0.035917,-0.007521,2024-04-22T18:14:00.261270Z
0.002261,0.000683,-0.024243,-0.006889,2024-04-22T18:14:00.261470Z
0.003207,0.000683,0.100086,-0.006889,2024-04-22T18:14:00.261670Z
0.006048,0.000998,0.073263,-0.008152,2024-04-22T18:14:00.261870Z
-0.001526,0.000683,-0.087976,-0.009729,2024-04-22T18:14:00.262070Z
-0.009729,0.000052,0.000367,-0.006574,2024-04-22T18:14:00.262270Z
-0.003734,0.000683,0.045809,-0.006889,2024-04-22T18:14:00.262470Z
0.004785,0.000683,0.157204,-0.008467,2024-04-22T18:14:00.262670Z
0.016777,0.000683,0.026875,-0.007205,2024-04-22T18:14:00.262870Z
-0.003734,0.000367,-0.093971,-0.007521,2024-04-22T18:14:00.263070Z
-0.019194,0.000683,-0.003419,-0.007205,2024-04-22T18:14:00.263270Z
-0.005627,0.000998,0.065058,-0.006574,2024-04-22T18:14:00.263470Z
0.008256,0.000683,0.101033,-0.007836,2024-04-22T18:14:00.263670Z
0.016146,0.000683,0.033817,-0.007205,2024-04-22T18:14:00.263870Z
-0.002472,0.000367,-0.082297,-0.008467,2024-04-22T18:14:00.264070Z
-0.016670,0.000367,-0.044435,-0.007205,2024-04-22T18:14:00.264270Z
-0.004681,0.000998,0.026559,-0.007205,2024-04-22T18:14:00.264470Z
0.004785,0.000998,0.008256,-0.008152,2024-04-22T18:14:00.264670Z
0.006363,0.000998,0.087148,-0.007205,2024-04-22T18:14:00.264870Z
0.004785,0.000367,-0.042227,-0.010676,2024-04-22T18:14:00.265070Z
-0.025820,0.000998,-0.047590,-0.008152,2024-04-22T18:14:00.265270Z
0.006048,0.000998,-0.070938,-0.006889,2024-04-22T18:14:00.265470Z
0.002892,0.000998,-0.125206,-0.008467,2024-04-22T18:14:00.265670Z
-0.006258,0.000052,0.130381,-0.006889,2024-04-22T18:14:00.265870Z
