motor1_x,motor1_y,motor1_z,sound,time
0.017092,0.000367,-0.060842,-0.005312,2024-04-22T15:26:50.538013Z
-0.014462,0.000683,-0.113217,-0.003103,2024-04-22T15:26:50.538213Z
0.002892,0.000683,0.135114,-0.008152,2024-04-22T15:26:50.538413Z
0.027190,0.000683,0.195387,-0.006574,2024-04-22T15:26:50.538613Z
0.020879,0.000998,-0.329027,-0.003419,2024-04-22T15:26:50.538813Z
-0.056425,0.000052,0.057800,-0.005943,2024-04-22T15:26:50.539013Z
0.014252,0.000998,-0.199036,-0.007836,2024-04-22T15:26:50.539213Z
0.017408,0.000998,-0.221437,-0.006258,2024-04-22T15:26:50.539413Z
0.025297,0.000367,0.304573,-0.005943,2024-04-22T15:26:50.539613Z
-0.041911,0.000683,0.127225,-0.003419,2024-04-22T15:26:50.539813Z
0.046440,0.000367,-0.420525,-0.007521,2024-04-22T15:26:50.540013Z
-0.013200,0.000998,0.287217,-0.008467,2024-04-22T15:26:50.540213Z
0.100717,0.000998,-0.334075,-0.007521,2024-04-22T15:26:50.540413Z
-0.074093,0.000052,0.302995,-0.006258,2024-04-22T15:26:50.540613Z
-0.021719,0.000683,0.069792,-0.003419,2024-04-22T15:26:50.540813Z
0.040444,0.001314,-0.332813,-0.008467,2024-04-22T15:26:50.541013Z
-0.052008,0.000367,0.297631,-0.008467,2024-04-22T15:26:50.541213Z
0.085255,0.000367,-0.151394,-0.005312,2024-04-22T15:26:50.541413Z
-0.033708,0.000998,-0.163068,-0.008152,2024-04-22T15:26:50.541613Z
0.012990,0.000367,0.087148,-0.004681,2024-04-22T15:26:50.541813Z
-0.024558,0.000998,0.358220,-0.008467,2024-04-22T15:26:50.542013Z
0.121545,0.000683,-0.414215,-0.008467,2024-04-22T15:26:50.542213Z
-0.054532,0.000998,0.107029,-0.008152,2024-04-22T15:26:50.542413Z
-0.056109,0.000367,0.346544,-0.006574,2024-04-22T15:26:50.542613Z
0.055276,0.000367,-0.081350,-0.005627,2024-04-22T15:26:50.542813Z
-0.014777,0.000998,0.175191,-0.007521,2024-04-22T15:26:50.543013Z
0.077681,0.000998,-0.097441,-0.005627,2024-04-22T15:26:50.543213Z
-0.053270,0.000367,0.097246,-0.006889,2024-04-22T15:26:50.543413Z
0.020879,0.000052,-0.118265,-0.006574,2024-04-22T15:26:50.543613Z
-0.048221,0.001630,0.095037,-0.006574,2024-04-22T15:26:50.543813Z
0.042653,0.000998,0.149315,-0.007836,2024-04-22T15:26:50.544013Z
0.068214,0.000367,-0.402225,-0.005943,2024-04-22T15:26:50.544213Z
-0.080404,0.000367,0.150261,-0.007521,2024-04-22T15:26:50.544413Z
-0.017617,0.000367,-0.160544,-0.007205,2024-04-22T15:26:50.544613Z
0.022773,0.000683,-0.208501,-0.002788,2024-04-22T15:26:50.544813Z
0.062534,0.000998,-0.048221,-0.006574,2024-04-22T15:26:50.545013Z
-0.019194,0.000367,0.176769,-0.007205,2024-04-22T15:26:50.545213Z
-0.042227,0.000683,0.014568,-0.007205,2024-04-22T15:26:50.545413Z
-0.029922,0.000367,0.455414,-0.006574,2024-04-22T15:26:50.545613Z
0.083046,0.000998,-0.006258,-0.002472,2024-04-22T15:26:50.545813Z
0.019617,0.000367,-0.094917,-0.005312,2024-04-22T15:26:50.546013Z
-0.027398,0.000367,0.233571,-0.006574,2024-04-22T15:26:50.546213Z
-0.001210,0.000998,-0.099965,-0.007836,2024-04-22T15:26:50.546413Z
-0.016670,0.000683,0.116496,-0.007205,2024-04-22T15:26:50.546613Z
0.048965,0.000367,-0.313567,-0.003103,2024-04-22T15:26:50.546813Z
-0.052008,0.000367,0.028137,-0.006574,2024-04-22T15:26:50.547013Z
0.045809,0.000367,-0.160859,-0.006574,2024-04-22T15:26:50.547213Z
-0.050746,0.000998,0.186551,-0.008467,2024-04-22T15:26:50.547413Z
0.026244,0.000998,0.108607,-0.007836,2024-04-22T15:26:50.547613Z
-0.004681,0.000683,-0.302839,-0.005312,2024-04-22T15:26:50.547813Z
0.045809,0.000052,-0.565976,-0.006574,2024-04-22T15:26:50.548013Z
-0.041280,0.000052,-0.137511,-0.006574,2024-04-22T15:26:50.548213Z
-0.004365,0.000998,0.458570,-0.006889,2024-04-22T15:26:50.548413Z
0.075472,0.000998,0.219055,-0.007205,2024-04-22T15:26:50.548613Z
-0.046644,0.000367,0.264496,-0.004050,2024-04-22T15:26:50.548813Z
-0.008152,0.000367,0.039498,-0.006889,2024-04-22T15:26:50.549013Z
-0.045066,0.000998,-0.075040,-0.008467,2024-04-22T15:26:50.549213Z
0.053382,0.000998,-0.001526,-0.007836,2024-04-22T15:26:50.549413Z
0.074210,0.000998,0.101980,-0.006574,2024-04-22T15:26:50.549613Z
-0.071254,0.000367,0.312462,-0.005312,2024-04-22T15:26:50.549813Z
0.006048,0.000367,-0.032130,-0.007521,2024-04-22T15:26:50.550013Z
-0.009414,0.000998,-0.562505,-0.007836,2024-04-22T15:26:50.550213Z
0.020564,0.000998,-0.023296,-0.007836,2024-04-22T15:26:50.550413Z
0.010465,0.000998,0.075472,-0.006258,2024-04-22T15:26:50.550613Z
-0.026451,0.000367,-0.016039,-0.002157,2024-04-22T15:26:50.550813Z
-0.007521,0.000367,0.262919,-0.006889,2024-04-22T15:26:50.551013Z
0.048333,0.001314,0.028768,-0.008152,2024-04-22T15:26:50.551213Z
0.032871,0.000367,-0.003419,-0.007521,2024-04-22T15:26:50.551413Z
-0.065890,0.000683,0.121229,-0.007205,2024-04-22T15:26:50.551613Z
-0.021087,0.000367,-0.037494,-0.002788,2024-04-22T15:26:50.551813Z
-0.004681,0.000367,0.095668,-0.007521,2024-04-22T15:26:50.552013Z
0.016146,0.000683,-0.004681,-0.007836,2024-04-22T15:26:50.552213Z
0.035711,0.000998,-0.138458,-0.006258,2024-04-22T15:26:50.552413Z
-0.099019,0.000367,0.177084,-0.006574,2024-04-22T15:26:50.552613Z
-0.006258,0.000683,0.039498,-0.001841,2024-04-22T15:26:50.552813Z
0.104504,0.000683,-0.350166,-0.007836,2024-04-22T15:26:50.553013Z
0.048018,0.000998,-0.087660,-0.008467,2024-04-22T15:26:50.553213Z
0.010150,0.000683,-0.100596,-0.006258,2024-04-22T15:26:50.553413Z
